date,regn,Assets,Loans_Total_Net,Loans_LLP,Equity,Net_Income_Current,Client_Deposits,Net_Interest_Income,month,flag_equity_negative,flag_loans_negative,flag_deposits_negative,flag_assets_negative,flag_llp_exceeds_net,flag_llp_positive_sign,profit_month,profit_12m,equity_avg_13,equity_any_neg_in_window,ROE_12m,ROE_12m_flow_check,loans_avg_Q,loans_any_neg_in_Q,LoanYield_3m,Loans_Gross,LDR,flag_roe_outlier,flag_yield_outlier,flag_ldr_outlier
2021-12-01,bank_14,992270.6,488432.9,-42853.8,54495.5,7021.1,873147.9,,12,False,False,False,False,False,False,1005.4000000000005,9931.3,53797.56923076923,False,0.184604995021222,1.3024789224105635,472368.65,False,,531286.7000000001,0.6084727455680762,False,False,False
2022-01-01,bank_14,1125281.3,505321.6,-30917.5,57910.0,10064.7,981508.6,5313.0,1,False,False,False,False,False,False,3043.6000000000004,10064.7,54475.092307692306,False,0.18475783286701813,1.2396491155732148,482117.375,False,0.04408055196102401,536239.1,0.5463417233430252,False,False,False
2022-02-01,bank_14,1035948.4,499672.5,-31339.0,56547.4,16.8,898006.1,,2,False,False,False,False,False,False,16.8,8515.8,54825.29230769231,False,0.15532612123994427,1.2034792195853459,492908.025,False,,531011.5,0.5913228206356282,False,False,False
2022-03-01,bank_14,-992753.5,500136.0,-31588.9,55832.1,-303.5,838100.1,,3,False,False,False,True,False,False,-320.3,7304.400000000001,55041.661538461536,False,0.13270674968443485,1.1485990472112315,498390.75,False,,531724.9,0.6344408024769357,False,False,False
2022-04-01,bank_14,939863.0,496637.3,-32310.7,56544.6,1585.0,815280.2,1956.7,4,False,False,False,False,False,False,1888.5,6617.400000000001,55297.61538461538,False,0.11966881309390169,1.0809417292997752,500441.85000000003,False,0.015639779127185307,528948.0,0.6487928935352533,False,False,False
2022-05-01,bank_14,950264.8,507998.9,-32603.9,55595.5,594.9,843826.4,,5,False,False,False,False,False,False,-990.1,7318.9,55330.8,False,0.13227533308753894,1.0306682715594206,501111.175,False,,540602.8,0.6406564193772558,False,False,False
2022-06-01,bank_14,940534.7,502948.9,-32595.8,55793.5,406.8,826637.2,,6,False,False,False,False,False,False,-188.09999999999997,6496.500000000001,55554.27692307692,False,0.11693969141197467,0.9622931475469036,501930.275,False,,535544.7000000001,0.6478594236988127,False,False,False
2022-07-01,bank_14,981665.8,512021.7,-30543.9,57199.0,1308.7,860632.5,-694.1,7,False,False,False,False,False,False,901.9000000000001,6460.8,55820.93076923077,False,0.1157415311957012,0.8931345162643017,504901.7,False,-0.005498892160592845,542565.6,0.6304265758032609,False,True,False
2022-08-01,bank_14,998181.0,534448.6,-30701.2,57700.5,2214.6,849805.3,,8,False,False,False,False,False,False,905.8999999999999,5765.5,56112.50769230769,False,0.102748927772308,0.8118760303818181,514354.525,False,,565149.7999999999,0.6650344496557034,False,False,False
2022-09-01,bank_14,1008747.6,526495.3,-30895.5,58308.8,3112.0,893154.6,,9,False,False,False,False,False,False,897.4000000000001,5786.6,56378.59230769231,False,0.10263824907899438,0.7321626580301824,518978.625,False,,557390.8,0.624069785902687,False,False,False
2022-10-01,bank_14,1017777.9,536674.9,-30767.8,59822.2,4752.8,889402.6,1957.9,10,False,False,False,False,False,False,1640.8000000000002,5576.000000000001,56661.10769230769,False,0.09840965394252253,0.6492919305387063,527410.125,False,0.014849165059165295,567442.7000000001,0.6380043188540264,False,False,False
2022-11-01,bank_14,1053621.4,555641.7,-30323.3,60633.0,5587.9,897175.4,,11,False,False,False,False,False,False,835.0999999999995,9636.900000000001,56900.68461538462,False,0.16936351583710837,0.6390397628039896,538315.125,False,,585965.0,0.6531220093640552,False,False,False
